,State Code,Occupation,Total Main Worker (Person)
1180,29,SKILLED AGRICULTURAL AND FISHERY WORKERS,381891
1181,29,Market Oriented Skilled Agricultural and Fishery Workers,381875
1182,29,Subsistence Agricultural and Fishery Workers,16
1183,29,CRAFT AND RELATED TRADES WORKERS,2245586
1184,29,Extraction and Building Trades Workers,865795
1185,29,"Metal, Machinery and Related Trades Workers",458292
1186,29,"Precision, Handicraft, Printing and Related Trades Workers",70444
1187,29,Other Craft and Related Trades Workers,851055
1188,29,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1187374
1189,29,Stationary Plant and Related Operators,125550
1190,29,Machine Operators and Assemblers,279055
1191,29,Drivers and Mobile-Plant Operators,782769
1192,29,ELEMENTARY OCCUPATIONS,2031361
1193,29,Sales and Services Elementary Occupations,449307
1194,29,"Agricultural, Fishery and Related Labourers",605261
1195,29,"Labourers in Mining, Construction, Manufacturing and Transport",976793
1196,29,WORKERS NOT CLASSIFIED BY OCCUPATIONS,870338
1197,29,Workers Not Reporting Any Occupations,870338
1198,30,TOTAL,429951
1199,30,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",27299
1200,30,Legislators and Senior Officials,844
1201,30,Corporate Managers,26215
1202,30,General Managers,240
1203,30,PROFESSIONALS,31337
1204,30,"Physical, Mathematical and Engineering Science Professionals",10984
1205,30,Life Science and Health Professionals,3698
1206,30,Teaching Professionals,4400
1207,30,Other Professionals,12255
1208,30,TECHNICIANS AND ASSOCIATE PROFESSIONALS,37582
1209,30,Physical and Engineering Science Associate Professionals,4007
1210,30,Life Science and Health Associate Professionals,5759
1211,30,Teaching Associate Professionals,11604
1212,30,Other Associate Professionals,16212
1213,30,CLERKS,37779
1214,30,Office Clerks,34901
1215,30,Customer Services Clerks,2878
1216,30,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,74194
1217,30,Personal and Protective Service Workers,35549
1218,30,"Models, Sales Persons and Demonstrators",38645
1219,30,SKILLED AGRICULTURAL AND FISHERY WORKERS,5974
1220,30,Market Oriented Skilled Agricultural and Fishery Workers,5966
1221,30,Subsistence Agricultural and Fishery Workers,8
1222,30,CRAFT AND RELATED TRADES WORKERS,55502
1223,30,Extraction and Building Trades Workers,27508
1224,30,"Metal, Machinery and Related Trades Workers",17987
1225,30,"Precision, Handicraft, Printing and Related Trades Workers",2395
1226,30,Other Craft and Related Trades Workers,7612
1227,30,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,54043
1228,30,Stationary Plant and Related Operators,3156
1229,30,Machine Operators and Assemblers,10297
1230,30,Drivers and Mobile-Plant Operators,40590
1231,30,ELEMENTARY OCCUPATIONS,64852
1232,30,Sales and Services Elementary Occupations,26516
1233,30,"Agricultural, Fishery and Related Labourers",234
1234,30,"Labourers in Mining, Construction, Manufacturing and Transport",38102
1235,30,WORKERS NOT CLASSIFIED BY OCCUPATIONS,41389
1236,30,Workers Not Reporting Any Occupations,41389
1237,31,TOTAL,10707
1238,31,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",430
1239,31,Legislators and Senior Officials,113
1240,31,Corporate Managers,313
1241,31,General Managers,4
1242,31,PROFESSIONALS,1052
1243,31,"Physical, Mathematical and Engineering Science Professionals",213
1244,31,Life Science and Health Professionals,106
1245,31,Teaching Professionals,584
1246,31,Other Professionals,149
1247,31,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1575
1248,31,Physical and Engineering Science Associate Professionals,191
1249,31,Life Science and Health Associate Professionals,296
1250,31,Teaching Associate Professionals,596
1251,31,Other Associate Professionals,492
1252,31,CLERKS,616
1253,31,Office Clerks,602
1254,31,Customer Services Clerks,14
1255,31,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1616
1256,31,Personal and Protective Service Workers,1360
1257,31,"Models, Sales Persons and Demonstrators",256
1258,31,SKILLED AGRICULTURAL AND FISHERY WORKERS,539
1259,31,Market Oriented Skilled Agricultural and Fishery Workers,539
1260,31,CRAFT AND RELATED TRADES WORKERS,1609
1261,31,Extraction and Building Trades Workers,907
1262,31,"Metal, Machinery and Related Trades Workers",382
1263,31,"Precision, Handicraft, Printing and Related Trades Workers",51
1264,31,Other Craft and Related Trades Workers,269
1265,31,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1619
1266,31,Stationary Plant and Related Operators,130
1267,31,Machine Operators and Assemblers,120
1268,31,Drivers and Mobile-Plant Operators,1369
1269,31,ELEMENTARY OCCUPATIONS,1127
1270,31,Sales and Services Elementary Occupations,266
1271,31,"Agricultural, Fishery and Related Labourers",218
1272,31,"Labourers in Mining, Construction, Manufacturing and Transport",643
1273,31,WORKERS NOT CLASSIFIED BY OCCUPATIONS,524
1274,31,Workers Not Reporting Any Occupations,524
1275,32,TOTAL,7667922
1276,32,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",385071
1277,32,Legislators and Senior Officials,26751
1278,32,Corporate Managers,357441
1279,32,General Managers,879
1280,32,PROFESSIONALS,488670
1281,32,"Physical, Mathematical and Engineering Science Professionals",106195
1282,32,Life Science and Health Professionals,49857
1283,32,Teaching Professionals,180945
1284,32,Other Professionals,151673
1285,32,TECHNICIANS AND ASSOCIATE PROFESSIONALS,676072
1286,32,Physical and Engineering Science Associate Professionals,79667
1287,32,Life Science and Health Associate Professionals,163886
1288,32,Teaching Associate Professionals,202589
1289,32,Other Associate Professionals,229930
1290,32,CLERKS,343055
1291,32,Office Clerks,300267
1292,32,Customer Services Clerks,42788
1293,32,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1234328
1294,32,Personal and Protective Service Workers,411690
1295,32,"Models, Sales Persons and Demonstrators",822638
1296,32,SKILLED AGRICULTURAL AND FISHERY WORKERS,485479
1297,32,Market Oriented Skilled Agricultural and Fishery Workers,485479
1298,32,CRAFT AND RELATED TRADES WORKERS,1806318
1299,32,Extraction and Building Trades Workers,1005937
1300,32,"Metal, Machinery and Related Trades Workers",281106
1301,32,"Precision, Handicraft, Printing and Related Trades Workers",64332
1302,32,Other Craft and Related Trades Workers,454943
1303,32,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,760629
1304,32,Stationary Plant and Related Operators,50199
1305,32,Machine Operators and Assemblers,90016
1306,32,Drivers and Mobile-Plant Operators,620414
1307,32,ELEMENTARY OCCUPATIONS,1293820
1308,32,Sales and Services Elementary Occupations,203643
1309,32,"Agricultural, Fishery and Related Labourers",451231
1310,32,"Labourers in Mining, Construction, Manufacturing and Transport",638946
1311,32,WORKERS NOT CLASSIFIED BY OCCUPATIONS,194480
1312,32,Workers Not Reporting Any Occupations,194480
1313,33,TOTAL,15726642
1314,33,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",795412
1315,33,Legislators and Senior Officials,43057
1316,33,Corporate Managers,749923
1317,33,General Managers,2432
1318,33,PROFESSIONALS,1043925
1319,33,"Physical, Mathematical and Engineering Science Professionals",431093
1320,33,Life Science and Health Professionals,74675
1321,33,Teaching Professionals,228017
1322,33,Other Professionals,310140
1323,33,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1200099
1324,33,Physical and Engineering Science Associate Professionals,122601
1325,33,Life Science and Health Associate Professionals,168078
1326,33,Teaching Associate Professionals,377390
1327,33,Other Associate Professionals,532030
1328,33,CLERKS,633429
1329,33,Office Clerks,573585
1330,33,Customer Services Clerks,59844
1331,33,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2340490
1332,33,Personal and Protective Service Workers,638148
1333,33,"Models, Sales Persons and Demonstrators",1702342
1334,33,SKILLED AGRICULTURAL AND FISHERY WORKERS,455017
1335,33,Market Oriented Skilled Agricultural and Fishery Workers,453435
1336,33,Subsistence Agricultural and Fishery Workers,1582
1337,33,CRAFT AND RELATED TRADES WORKERS,3517201
1338,33,Extraction and Building Trades Workers,1175428
1339,33,"Metal, Machinery and Related Trades Workers",664144
1340,33,"Precision, Handicraft, Printing and Related Trades Workers",217526
1341,33,Other Craft and Related Trades Workers,1460103
1342,33,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1949264
1343,33,Stationary Plant and Related Operators,87856
1344,33,Machine Operators and Assemblers,793879
1345,33,Drivers and Mobile-Plant Operators,1067529
1346,33,ELEMENTARY OCCUPATIONS,2792022
1347,33,Sales and Services Elementary Occupations,886130
1348,33,"Agricultural, Fishery and Related Labourers",325976
1349,33,"Labourers in Mining, Construction, Manufacturing and Transport",1579916
1350,33,WORKERS NOT CLASSIFIED BY OCCUPATIONS,999783
1351,33,Workers Not Reporting Any Occupations,999783
1352,34,TOTAL,330880
1353,34,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",24913
1354,34,Legislators and Senior Officials,1867
1355,34,Corporate Managers,22970
1356,34,General Managers,76
1357,34,PROFESSIONALS,29044
1358,34,"Physical, Mathematical and Engineering Science Professionals",10759
1359,34,Life Science and Health Professionals,2770
1360,34,Teaching Professionals,7611
1361,34,Other Professionals,7904
1362,34,TECHNICIANS AND ASSOCIATE PROFESSIONALS,35885
1363,34,Physical and Engineering Science Associate Professionals,3447
1364,34,Life Science and Health Associate Professionals,6648
1365,34,Teaching Associate Professionals,10475
1366,34,Other Associate Professionals,15315
1367,34,CLERKS,16013
1368,34,Office Clerks,13628
1369,34,Customer Services Clerks,2385
1370,34,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,47510
1371,34,Personal and Protective Service Workers,16803
1372,34,"Models, Sales Persons and Demonstrators",30707
1373,34,SKILLED AGRICULTURAL AND FISHERY WORKERS,14367
1374,34,Market Oriented Skilled Agricultural and Fishery Workers,14332
1375,34,Subsistence Agricultural and Fishery Workers,35
1376,34,CRAFT AND RELATED TRADES WORKERS,57979
1377,34,Extraction and Building Trades Workers,31101
1378,34,"Metal, Machinery and Related Trades Workers",12486
1379,34,"Precision, Handicraft, Printing and Related Trades Workers",2365
1380,34,Other Craft and Related Trades Workers,12027
1381,34,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,29098
1382,34,Stationary Plant and Related Operators,1781
1383,34,Machine Operators and Assemblers,8048
1384,34,Drivers and Mobile-Plant Operators,19269
1385,34,ELEMENTARY OCCUPATIONS,59996
1386,34,Sales and Services Elementary Occupations,26555
1387,34,"Agricultural, Fishery and Related Labourers",1806
1388,34,"Labourers in Mining, Construction, Manufacturing and Transport",31635
1389,34,WORKERS NOT CLASSIFIED BY OCCUPATIONS,16075
1390,34,Workers Not Reporting Any Occupations,16075
1391,35,TOTAL,107736
1392,35,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",7230
1393,35,Legislators and Senior Officials,642
1394,35,Corporate Managers,6577
1395,35,General Managers,11
1396,35,PROFESSIONALS,5947
1397,35,"Physical, Mathematical and Engineering Science Professionals",1510
1398,35,Life Science and Health Professionals,523
1399,35,Teaching Professionals,2107
1400,35,Other Professionals,1807
1401,35,TECHNICIANS AND ASSOCIATE PROFESSIONALS,9422
1402,35,Physical and Engineering Science Associate Professionals,988
1403,35,Life Science and Health Associate Professionals,2524
1404,35,Teaching Associate Professionals,3363
1405,35,Other Associate Professionals,2547
1406,35,CLERKS,4799
1407,35,Office Clerks,4446
1408,35,Customer Services Clerks,353
1409,35,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,18318
1410,35,Personal and Protective Service Workers,12323
1411,35,"Models, Sales Persons and Demonstrators",5995
1412,35,SKILLED AGRICULTURAL AND FISHERY WORKERS,5723
1413,35,Market Oriented Skilled Agricultural and Fishery Workers,5720
1414,35,Subsistence Agricultural and Fishery Workers,3
1415,35,CRAFT AND RELATED TRADES WORKERS,11318
1416,35,Extraction and Building Trades Workers,5692
1417,35,"Metal, Machinery and Related Trades Workers",3674
1418,35,"Precision, Handicraft, Printing and Related Trades Workers",569
1419,35,Other Craft and Related Trades Workers,1383
1420,35,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,9949
1421,35,Stationary Plant and Related Operators,706
1422,35,Machine Operators and Assemblers,1150
1423,35,Drivers and Mobile-Plant Operators,8093
1424,35,ELEMENTARY OCCUPATIONS,25291
1425,35,Sales and Services Elementary Occupations,3921
1426,35,"Agricultural, Fishery and Related Labourers",3769
1427,35,"Labourers in Mining, Construction, Manufacturing and Transport",17601
1428,35,WORKERS NOT CLASSIFIED BY OCCUPATIONS,9739
1429,35,Workers Not Reporting Any Occupations,9739
1430,12,TOTAL,206677
1431,12,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",9105
1432,12,Legislators and Senior Officials,3437
1433,12,Corporate Managers,5655
1434,12,General Managers,13
1435,12,PROFESSIONALS,12895
1436,12,"Physical, Mathematical and Engineering Science Professionals",1552
1437,12,Life Science and Health Professionals,2072
1438,12,Teaching Professionals,3734
1439,12,Other Professionals,5537
1440,12,TECHNICIANS AND ASSOCIATE PROFESSIONALS,25036
1441,12,Physical and Engineering Science Associate Professionals,2632
1442,12,Life Science and Health Associate Professionals,4620
1443,12,Teaching Associate Professionals,12991
1444,12,Other Associate Professionals,4793
1445,12,CLERKS,10234
1446,12,Office Clerks,9744
1447,12,Customer Services Clerks,490
1448,12,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,31083
1449,12,Personal and Protective Service Workers,17863
1450,12,"Models, Sales Persons and Demonstrators",13220
1451,12,SKILLED AGRICULTURAL AND FISHERY WORKERS,6770
1452,12,Market Oriented Skilled Agricultural and Fishery Workers,6770
1453,12,CRAFT AND RELATED TRADES WORKERS,13492
1454,12,Extraction and Building Trades Workers,7804
1455,12,"Metal, Machinery and Related Trades Workers",3479
1456,12,"Precision, Handicraft, Printing and Related Trades Workers",481
1457,12,Other Craft and Related Trades Workers,1728
1458,12,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,11085
1459,12,Stationary Plant and Related Operators,772
1460,12,Machine Operators and Assemblers,795
1461,12,Drivers and Mobile-Plant Operators,9518
1462,12,ELEMENTARY OCCUPATIONS,40073
1463,12,Sales and Services Elementary Occupations,6189
1464,12,"Agricultural, Fishery and Related Labourers",6699
1465,12,"Labourers in Mining, Construction, Manufacturing and Transport",27185
1466,12,WORKERS NOT CLASSIFIED BY OCCUPATIONS,46904
1467,12,Workers Not Reporting Any Occupations,46904
1468,28,TOTAL,12582217
1469,28,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",431111
1470,28,Legislators and Senior Officials,104530
1471,28,Corporate Managers,321264
1472,28,General Managers,5317
1473,28,PROFESSIONALS,780806
1474,28,"Physical, Mathematical and Engineering Science Professionals",280593
1475,28,Life Science and Health Professionals,80681
1476,28,Teaching Professionals,189284
1477,28,Other Professionals,230248
1478,28,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1185639
1479,28,Physical and Engineering Science Associate Professionals,106845
1480,28,Life Science and Health Associate Professionals,200660
1481,28,Teaching Associate Professionals,487078
1482,28,Other Associate Professionals,391056
1483,28,CLERKS,673272
1484,28,Office Clerks,630931
1485,28,Customer Services Clerks,42341
1486,28,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2394436
1487,28,Personal and Protective Service Workers,698183
1488,28,"Models, Sales Persons and Demonstrators",1696253
1489,28,SKILLED AGRICULTURAL AND FISHERY WORKERS,416387
1490,28,Market Oriented Skilled Agricultural and Fishery Workers,416327
1491,28,Subsistence Agricultural and Fishery Workers,60
1492,28,CRAFT AND RELATED TRADES WORKERS,2257729
1493,28,Extraction and Building Trades Workers,991312
1494,28,"Metal, Machinery and Related Trades Workers",463512
1495,28,"Precision, Handicraft, Printing and Related Trades Workers",127867
1496,28,Other Craft and Related Trades Workers,675038
1497,28,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1219365
1498,28,Stationary Plant and Related Operators,99494
1499,28,Machine Operators and Assemblers,226012
1500,28,Drivers and Mobile-Plant Operators,893859
1501,28,ELEMENTARY OCCUPATIONS,2136548
1502,28,Sales and Services Elementary Occupations,615005
1503,28,"Agricultural, Fishery and Related Labourers",9252
1504,28,"Labourers in Mining, Construction, Manufacturing and Transport",1512291
1505,28,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1086924
1506,28,Workers Not Reporting Any Occupations,1086924
1507,22,TOTAL,2561591
1508,22,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",94661
1509,22,Legislators and Senior Officials,20984
1510,22,Corporate Managers,71550
1511,22,General Managers,2127
1512,22,PROFESSIONALS,162630
1513,22,"Physical, Mathematical and Engineering Science Professionals",38771
1514,22,Life Science and Health Professionals,25186
1515,22,Teaching Professionals,40309
1516,22,Other Professionals,58364
1517,22,TECHNICIANS AND ASSOCIATE PROFESSIONALS,285248
1518,22,Physical and Engineering Science Associate Professionals,9382
1519,22,Life Science and Health Associate Professionals,22567
1520,22,Teaching Associate Professionals,176725
1521,22,Other Associate Professionals,76574
1522,22,CLERKS,85126
1523,22,Office Clerks,80038
1524,22,Customer Services Clerks,5088
1525,22,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,592257
1526,22,Personal and Protective Service Workers,267589
1527,22,"Models, Sales Persons and Demonstrators",324668
1528,22,SKILLED AGRICULTURAL AND FISHERY WORKERS,71347
1529,22,Market Oriented Skilled Agricultural and Fishery Workers,71341
1530,22,Subsistence Agricultural and Fishery Workers,6
1531,22,CRAFT AND RELATED TRADES WORKERS,374883
1532,22,Extraction and Building Trades Workers,138973
1533,22,"Metal, Machinery and Related Trades Workers",123735
1534,22,"Precision, Handicraft, Printing and Related Trades Workers",37070
1535,22,Other Craft and Related Trades Workers,75105
1536,22,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,247247
1537,22,Stationary Plant and Related Operators,28305
1538,22,Machine Operators and Assemblers,89578
1539,22,Drivers and Mobile-Plant Operators,129364
1540,22,ELEMENTARY OCCUPATIONS,565630
1541,22,Sales and Services Elementary Occupations,141874
1542,22,"Agricultural, Fishery and Related Labourers",7615
1543,22,"Labourers in Mining, Construction, Manufacturing and Transport",416141
1544,22,WORKERS NOT CLASSIFIED BY OCCUPATIONS,82562
1545,22,Workers Not Reporting Any Occupations,82562
1546,18,TOTAL,4406211
1547,18,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",91086
1548,18,Legislators and Senior Officials,18769
1549,18,Corporate Managers,71894
1550,18,General Managers,423
1551,18,PROFESSIONALS,238221
1552,18,"Physical, Mathematical and Engineering Science Professionals",20674
1553,18,Life Science and Health Professionals,23541
1554,18,Teaching Professionals,100565
1555,18,Other Professionals,93441
1556,18,TECHNICIANS AND ASSOCIATE PROFESSIONALS,367192
1557,18,Physical and Engineering Science Associate Professionals,13525
1558,18,Life Science and Health Associate Professionals,87598
1559,18,Teaching Associate Professionals,191953
1560,18,Other Associate Professionals,74116
1561,18,CLERKS,86096
1562,18,Office Clerks,80950
1563,18,Customer Services Clerks,5146
1564,18,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,964160
1565,18,Personal and Protective Service Workers,213755
1566,18,"Models, Sales Persons and Demonstrators",750405
1567,18,SKILLED AGRICULTURAL AND FISHERY WORKERS,125246
1568,18,Market Oriented Skilled Agricultural and Fishery Workers,125244
1569,18,Subsistence Agricultural and Fishery Workers,2
1570,18,CRAFT AND RELATED TRADES WORKERS,474857
1571,18,Extraction and Building Trades Workers,261952
1572,18,"Metal, Machinery and Related Trades Workers",81041
1573,18,"Precision, Handicraft, Printing and Related Trades Workers",40046
1574,18,Other Craft and Related Trades Workers,91818
1575,18,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,225583
1576,18,Stationary Plant and Related Operators,8767
1577,18,Machine Operators and Assemblers,25938
1578,18,Drivers and Mobile-Plant Operators,190878
1579,18,ELEMENTARY OCCUPATIONS,1260040
1580,18,Sales and Services Elementary Occupations,92652
1581,18,"Agricultural, Fishery and Related Labourers",683763
1582,18,"Labourers in Mining, Construction, Manufacturing and Transport",483625
1583,18,WORKERS NOT CLASSIFIED BY OCCUPATIONS,573730
1584,18,Workers Not Reporting Any Occupations,573730
1585,10,TOTAL,5637882
1586,10,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",205763
1587,10,Legislators and Senior Officials,127735
1588,10,Corporate Managers,76949
1589,10,General Managers,1079
1590,10,PROFESSIONALS,291172
1591,10,"Physical, Mathematical and Engineering Science Professionals",45790
1592,10,Life Science and Health Professionals,50876
1593,10,Teaching Professionals,96627
1594,10,Other Professionals,97879
1595,10,TECHNICIANS AND ASSOCIATE PROFESSIONALS,590458
1596,10,Physical and Engineering Science Associate Professionals,17660
1597,10,Life Science and Health Associate Professionals,112424
1598,10,Teaching Associate Professionals,370243
1599,10,Other Associate Professionals,90131
1600,10,CLERKS,141190
1601,10,Office Clerks,134166
1602,10,Customer Services Clerks,7024
1603,10,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1299477
1604,10,Personal and Protective Service Workers,276888
1605,10,"Models, Sales Persons and Demonstrators",1022589
1606,10,SKILLED AGRICULTURAL AND FISHERY WORKERS,115178
1607,10,Market Oriented Skilled Agricultural and Fishery Workers,115174
1608,10,Subsistence Agricultural and Fishery Workers,4
1609,10,CRAFT AND RELATED TRADES WORKERS,743819
1610,10,Extraction and Building Trades Workers,266459
1611,10,"Metal, Machinery and Related Trades Workers",116749
1612,10,"Precision, Handicraft, Printing and Related Trades Workers",79553
1613,10,Other Craft and Related Trades Workers,281058
1614,10,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,269841
1615,10,Stationary Plant and Related Operators,23945
1616,10,Machine Operators and Assemblers,62814
1617,10,Drivers and Mobile-Plant Operators,183082
1618,10,ELEMENTARY OCCUPATIONS,749901
1619,10,Sales and Services Elementary Occupations,113699
1620,10,"Agricultural, Fishery and Related Labourers",2854
1621,10,"Labourers in Mining, Construction, Manufacturing and Transport",633348
1622,10,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1231083
1623,10,Workers Not Reporting Any Occupations,1231083
1624,26,TOTAL,99696
1625,26,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",4721
1626,26,Legislators and Senior Officials,142
1627,26,Corporate Managers,4438
1628,26,General Managers,141
1629,26,PROFESSIONALS,2728
1630,26,"Physical, Mathematical and Engineering Science Professionals",939
1631,26,Life Science and Health Professionals,261
1632,26,Teaching Professionals,594
1633,26,Other Professionals,934
1634,26,TECHNICIANS AND ASSOCIATE PROFESSIONALS,4861
1635,26,Physical and Engineering Science Associate Professionals,674
1636,26,Life Science and Health Associate Professionals,667
1637,26,Teaching Associate Professionals,1917
1638,26,Other Associate Professionals,1603
1639,26,CLERKS,1929
1640,26,Office Clerks,1815
1641,26,Customer Services Clerks,114
1642,26,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,8179
1643,26,Personal and Protective Service Workers,2777
1644,26,"Models, Sales Persons and Demonstrators",5402
1645,26,SKILLED AGRICULTURAL AND FISHERY WORKERS,1162
1646,26,Market Oriented Skilled Agricultural and Fishery Workers,1162
1647,26,CRAFT AND RELATED TRADES WORKERS,11470
1648,26,Extraction and Building Trades Workers,3182
1649,26,"Metal, Machinery and Related Trades Workers",3986
1650,26,"Precision, Handicraft, Printing and Related Trades Workers",155
1651,26,Other Craft and Related Trades Workers,4147
1652,26,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,33087
1653,26,Stationary Plant and Related Operators,2459
1654,26,Machine Operators and Assemblers,27134
1655,26,Drivers and Mobile-Plant Operators,3494
1656,26,ELEMENTARY OCCUPATIONS,16170
1657,26,Sales and Services Elementary Occupations,4171
1658,26,"Agricultural, Fishery and Related Labourers",121
1659,26,"Labourers in Mining, Construction, Manufacturing and Transport",11878
1660,26,WORKERS NOT CLASSIFIED BY OCCUPATIONS,15389
1661,26,Workers Not Reporting Any Occupations,15389
1662,25,TOTAL,114616
1663,25,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",3183
1664,25,Legislators and Senior Officials,96
1665,25,Corporate Managers,3063
1666,25,General Managers,24
1667,25,PROFESSIONALS,1991
1668,25,"Physical, Mathematical and Engineering Science Professionals",681
1669,25,Life Science and Health Professionals,187
1670,25,Teaching Professionals,541
1671,25,Other Professionals,582
1672,25,TECHNICIANS AND ASSOCIATE PROFESSIONALS,3264
1673,25,Physical and Engineering Science Associate Professionals,621
1674,25,Life Science and Health Associate Professionals,431
1675,25,Teaching Associate Professionals,960
1676,25,Other Associate Professionals,1252
1677,25,CLERKS,2346
1678,25,Office Clerks,2170
1679,25,Customer Services Clerks,176
1680,25,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,8984
1681,25,Personal and Protective Service Workers,3606
1682,25,"Models, Sales Persons and Demonstrators",5378
1683,25,SKILLED AGRICULTURAL AND FISHERY WORKERS,8289
1684,25,Market Oriented Skilled Agricultural and Fishery Workers,8289
1685,25,CRAFT AND RELATED TRADES WORKERS,12972
1686,25,Extraction and Building Trades Workers,3677
1687,25,"Metal, Machinery and Related Trades Workers",4508
1688,25,"Precision, Handicraft, Printing and Related Trades Workers",503
1689,25,Other Craft and Related Trades Workers,4284
1690,25,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,51348
1691,25,Stationary Plant and Related Operators,4936
1692,25,Machine Operators and Assemblers,40657
1693,25,Drivers and Mobile-Plant Operators,5755
1694,25,ELEMENTARY OCCUPATIONS,15771
1695,25,Sales and Services Elementary Occupations,4330
1696,25,"Agricultural, Fishery and Related Labourers",60
1697,25,"Labourers in Mining, Construction, Manufacturing and Transport",11381
1698,25,WORKERS NOT CLASSIFIED BY OCCUPATIONS,6468
1699,25,Workers Not Reporting Any Occupations,6468
1700,7,TOTAL,5081269
1701,7,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",412506
1702,7,Legislators and Senior Officials,95297
1703,7,Corporate Managers,308320
1704,7,General Managers,8889
1705,7,PROFESSIONALS,371850
1706,7,"Physical, Mathematical and Engineering Science Professionals",129625
1707,7,Life Science and Health Professionals,41706
1708,7,Teaching Professionals,65937
1709,7,Other Professionals,134582
1710,7,TECHNICIANS AND ASSOCIATE PROFESSIONALS,512593
1711,7,Physical and Engineering Science Associate Professionals,34742
1712,7,Life Science and Health Associate Professionals,54204
1713,7,Teaching Associate Professionals,111114
1714,7,Other Associate Professionals,312533
1715,7,CLERKS,212673
1716,7,Office Clerks,188553
1717,7,Customer Services Clerks,24120
1718,7,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1038765
1719,7,Personal and Protective Service Workers,199497
1720,7,"Models, Sales Persons and Demonstrators",839268
1721,7,SKILLED AGRICULTURAL AND FISHERY WORKERS,26501
1722,7,Market Oriented Skilled Agricultural and Fishery Workers,26501
1723,7,CRAFT AND RELATED TRADES WORKERS,706947
1724,7,Extraction and Building Trades Workers,198500
1725,7,"Metal, Machinery and Related Trades Workers",174183
1726,7,"Precision, Handicraft, Printing and Related Trades Workers",65343
1727,7,Other Craft and Related Trades Workers,268921
1728,7,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,502564
1729,7,Stationary Plant and Related Operators,40166
1730,7,Machine Operators and Assemblers,204467
1731,7,Drivers and Mobile-Plant Operators,257931
1732,7,ELEMENTARY OCCUPATIONS,848925
1733,7,Sales and Services Elementary Occupations,434610
1734,7,"Agricultural, Fishery and Related Labourers",996
1735,7,"Labourers in Mining, Construction, Manufacturing and Transport",413319
1736,7,WORKERS NOT CLASSIFIED BY OCCUPATIONS,447945
1737,7,Workers Not Reporting Any Occupations,447945
1738,24,TOTAL,10876209
1739,24,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",428647
1740,24,Legislators and Senior Officials,16427
1741,24,Corporate Managers,408200
1742,24,General Managers,4020
1743,24,PROFESSIONALS,402702
1744,24,"Physical, Mathematical and Engineering Science Professionals",83020
1745,24,Life Science and Health Professionals,51504
1746,24,Teaching Professionals,121385
1747,24,Other Professionals,146793
1748,24,TECHNICIANS AND ASSOCIATE PROFESSIONALS,734027
1749,24,Physical and Engineering Science Associate Professionals,61380
